"state_code","county","state_id"
"CA","Los Angeles","5"
"IL","Cook","15"
"TX","Harris","44"
"AZ","Maricopa","4"
"CA","San Diego","5"
"CA","Orange","5"
"FL","Miami-Dade","10"
"TX","Dallas","44"
"NY","Kings","35"
"CA","Riverside","5"
"NY","Queens","35"
"WA","King","48"
"NV","Clark","34"
"CA","San Bernardino","5"
"TX","Tarrant","44"
"TX","Bexar","44"
"CA","Santa Clara","5"
"FL","Broward","10"
"MI","Wayne","23"
"CA","Alameda","5"
"NY","New York","35"
"MA","Middlesex","20"
"PA","Philadelphia","39"
"CA","Sacramento","5"
"NY","Suffolk","35"
"FL","Palm Beach","10"
"NY","Bronx","35"
"FL","Hillsborough","10"
"NY","Nassau","35"
"FL","Orange","10"
"OH","Franklin","36"
"MI","Oakland","23"
"OH","Cuyahoga","36"
"MN","Hennepin","24"
"TX","Travis","44"
"PA","Allegheny","39"
"VA","Fairfax","46"
"CA","Contra Costa","5"
"UT","Salt Lake","45"
"NC","Mecklenburg","28"
"NC","Wake","28"
"MD","Montgomery","21"
"GA","Fulton","11"
"AZ","Pima","4"
"MO","St. Louis","25"
"HI","Honolulu","12"
"CA","Fresno","5"
"TX","Collin","44"
"NY","Westchester","35"
"FL","Pinellas","10"
"IN","Marion","16"
"WI","Milwaukee","49"
"CT","Fairfield","7"
"TN","Shelby","43"
"FL","Duval","10"
"NJ","Bergen","32"
"IL","DuPage","15"
"NY","Erie","35"
"GA","Gwinnett","11"
"MD","Prince George's","21"
"CT","Hartford","7"
"CA","Kern","5"
"WA","Pierce","48"
"CA","San Francisco","5"
"MI","Macomb","23"
"CT","New Haven","7"
"TX","Hidalgo","44"
"CA","Ventura","5"
"TX","El Paso","44"
"TX","Denton","44"
"MD","Baltimore","21"
"NJ","Middlesex","32"
"MA","Worcester","20"
"PA","Montgomery","39"
"OH","Hamilton","36"
"OR","Multnomah","38"
"WA","Snohomish","48"
"MA","Suffolk","20"
"NJ","Essex","32"
"OK","Oklahoma","37"
"MA","Essex","20"
"CA","San Mateo","5"
"KY","Jefferson","18"
"TX","Fort Bend","44"
"GA","Cobb","11"
"GA","DeKalb","11"
"NY","Monroe","35"
"CA","San Joaquin","5"
"FL","Lee","10"
"CO","Denver","6"
"IL","Lake","15"
"MA","Norfolk","20"
"CO","El Paso","6"
"MO","Jackson","25"
"DC","District of Columbia","8"
"IL","Will","15"
"TN","Davidson","43"
"FL","Polk","10"
"NM","Bernalillo","33"
"NJ","Hudson","32"
"AL","Jefferson","2"
"MI","Kent","23"
"OK","Tulsa","37"
"CO","Arapahoe","6"
"RI","Providence","40"
"PA","Bucks","39"
"NJ","Monmouth","32"
"MD","Baltimore","21"
"UT","Utah","45"
"NJ","Ocean","32"
"KS","Johnson","17"
"OR","Washington","38"
"FL","Brevard","10"
"CO","Jefferson","6"
"TX","Montgomery","44"
"MD","Anne Arundel","21"
"PA","Delaware","39"
"MA","Bristol","20"
"NE","Douglas","30"
"DE","New Castle","9"
"NJ","Union","32"
"TX","Williamson","44"
"MN","Ramsey","24"
"CA","Stanislaus","5"
"OH","Summit","36"
"PA","Lancaster","39"
"FL","Volusia","10"
"WI","Dane","49"
"OH","Montgomery","36"
"IL","Kane","15"
"NC","Guilford","28"
"FL","Pasco","10"
"PA","Chester","39"
"MA","Plymouth","20"
"KS","Sedgwick","17"
"SC","Greenville","41"
"NJ","Camden","32"
"WA","Spokane","48"
"CO","Adams","6"
"NJ","Passaic","32"
"CA","Sonoma","5"
"NJ","Morris","32"
"IN","Lake","16"
"IA","Polk","13"
"NY","Richmond","35"
"WA","Clark","48"
"MA","Hampden","20"
"NY","Onondaga","35"
"CA","Tulare","5"
"VA","Prince William","46"
"FL","Seminole","10"
"TN","Knox","43"
"NV","Washoe","34"
"ID","Ada","14"
"VA","Virginia Beach","46"
"NJ","Burlington","32"
"PA","York","39"
"CA","Santa Barbara","5"
"LA","East Baton Rouge","19"
"CA","Solano","5"
"LA","Jefferson","19"
"CA","Monterey","5"
"AZ","Pinal","4"
"OH","Lucas","36"
"TX","Cameron","44"
"MN","Dakota","24"
"FL","Sarasota","10"
"PA","Berks","39"
"AL","Mobile","2"
"NH","Hillsborough","31"
"SC","Richland","41"
"OR","Clackamas","38"
"MI","Genesee","23"
"SC","Charleston","41"
"WI","Waukesha","49"
"VA","Loudoun","46"
"MO","St. Charles","25"
"AR","Pulaski","3"
"LA","Orleans","19"
"CA","Placer","5"
"FL","Manatee","10"
"NY","Orange","35"
"OH","Butler","36"
"NC","Forsyth","28"
"OR","Lane","38"
"IN","Allen","16"
"OH","Stark","36"
"FL","Collier","10"
"NJ","Mercer","32"
"MI","Washtenaw","23"
"PA","Lehigh","39"
"AL","Madison","2"
"TX","Nueces","44"
"TN","Hamilton","43"
"TX","Brazoria","44"
"FL","Marion","10"
"PA","Westmoreland","39"
"FL","Osceola","10"
"MN","Anoka","24"
"TX","Bell","44"
"FL","Lake","10"
"UT","Davis","45"
"CO","Larimer","6"
"VA","Chesterfield","46"
"OR","Marion","38"
"CO","Douglas","6"
"TX","Galveston","44"
"NC","Cumberland","28"
"SC","Horry","41"
"NJ","Somerset","32"
"VA","Henrico","46"
"NY","Rockland","35"
"IN","Hamilton","16"
"CO","Boulder","6"
"KY","Fayette","18"
"MD","Howard","21"
"PA","Luzerne","39"
"TN","Rutherford","43"
"FL","Escambia","10"
"NE","Lancaster","30"
"FL","St. Lucie","10"
"NC","Durham","28"
"MO","St. Louis","25"
"IL","McHenry","15"
"OH","Lorain","36"
"SC","Spartanburg","41"
"NY","Albany","35"
"NH","Rockingham","31"
"CO","Weld","6"
"TX","Lubbock","44"
"PA","Northampton","39"
"NY","Dutchess","35"
"AK","Anchorage","1"
"ME","Cumberland","22"
"NJ","Gloucester","32"
"MI","Ingham","23"
"SC","Lexington","41"
"FL","Leon","10"
"MO","Greene","25"
"GA","Chatham","11"
"MI","Ottawa","23"
"IL","Winnebago","15"
"GA","Clayton","11"
"CA","San Luis Obispo","5"
"WA","Thurston","48"
"OK","Cleveland","37"
"PA","Dauphin","39"
"CA","Santa Cruz","5"
"PA","Erie","39"
"TX","Webb","44"
"CA","Merced","5"
"IN","St. Joseph","16"
"CT","New London","7"
"NJ","Atlantic","32"
"WA","Kitsap","48"
"SC","York","41"
"AR","Benton","3"
"FL","Alachua","10"
"IL","Madison","15"
"MI","Kalamazoo","23"
"IL","St. Clair","15"
"WI","Brown","49"
"CA","Marin","5"
"NC","Buncombe","28"
"MN","Washington","24"
"LA","St. Tammany","19"
"TX","Jefferson","44"
"MD","Harford","21"
"UT","Weber","45"
"MD","Frederick","21"
"TX","McLennan","44"
"WA","Yakima","48"
"PA","Cumberland","39"
"GA","Cherokee","11"
"LA","Caddo","19"
"FL","St. Johns","10"
"VA","Norfolk","46"
"MO","Clay","25"
"LA","Lafayette","19"
"VA","Chesapeake","46"
"MS","Hinds","26"
"VA","Arlington","46"
"AR","Washington","3"
"NC","Union","28"
"OH","Mahoning","36"
"NY","Oneida","35"
"OH","Lake","36"
"OH","Warren","36"
"NY","Saratoga","35"
"GA","Forsyth","11"
"AZ","Yavapai","4"
"NC","New Hanover","28"
"TX","Smith","44"
"AL","Montgomery","2"
"VA","Richmond","46"
"CA","Butte","5"
"TN","Williamson","43"
"GA","Henry","11"
"DE","Sussex","9"
"MO","Jefferson","25"
"IA","Linn","13"
"TX","Brazos","44"
"WA","Whatcom","48"
"NC","Gaston","28"
"ID","Canyon","14"
"CA","Yolo","5"
"OR","Jackson","38"
"NM","Doña Ana","33"
"SC","Berkeley","41"
"MA","Barnstable","20"
"AL","Shelby","2"
"TX","Hays","44"
"AL","Baldwin","2"
"FL","Clay","10"
"NY","Niagara","35"
"PA","Lackawanna","39"
"IL","Champaign","15"
"AZ","Yuma","4"
"AZ","Mohave","4"
"AL","Tuscaloosa","2"
"PA","Washington","39"
"NC","Cabarrus","28"
"IN","Elkhart","16"
"MS","Harrison","26"
"ME","York","22"
"OH","Clermont","36"
"FL","Okaloosa","10"
"GA","Richmond","11"
"LA","Calcasieu","19"
"OH","Delaware","36"
"OH","Trumbull","36"
"TN","Montgomery","43"
"MN","St. Louis","24"
"HI","Hawaii","12"
"GA","Hall","11"
"SC","Anderson","41"
"WA","Benton","48"
"NC","Johnston","28"
"IL","Sangamon","15"
"GA","Muscogee","11"
"WI","Racine","49"
"NC","Onslow","28"
"NY","Broome","35"
"MI","Saginaw","23"
"IN","Tippecanoe","16"
"MI","Livingston","23"
"SD","Minnehaha","42"
"CA","El Dorado","5"
"PA","Butler","39"
"FL","Hernando","10"
"OR","Deschutes","38"
"SC","Beaufort","41"
"WI","Outagamie","49"
"TN","Sumner","43"
"WV","Kanawha","50"
"IL","Peoria","15"
"FL","Bay","10"
"CT","Litchfield","7"
"IN","Vanderburgh","16"
"NE","Sarpy","30"
"FL","Charlotte","10"
"CA","Imperial","5"
"VA","Newport News","46"
"CA","Shasta","5"
"MS","DeSoto","26"
"NY","Ulster","35"
"NC","Pitt","28"
"OH","Medina","36"
"KS","Shawnee","17"
"MO","Boone","25"
"ND","Cass","29"
"DE","Kent","9"
"NC","Iredell","28"
"FL","Santa Rosa","10"
"TX","Ellis","44"
"OH","Licking","36"
"MI","Muskegon","23"
"IL","McLean","15"
"IA","Scott","13"
"WI","Winnebago","49"
"IN","Porter","16"
"WI","Kenosha","49"
"SC","Aiken","41"
"TX","Midland","44"
"PA","Monroe","39"
"MD","Carroll","21"
"TX","Johnson","44"
"OH","Greene","36"
"CO","Pueblo","6"
"HI","Maui","12"
"PA","Beaver","39"
"UT","Washington","45"
"KY","Kenton","18"
"NC","Davidson","28"
"KS","Wyandotte","17"
"RI","Kent","40"
"IN","Hendricks","16"
"NC","Alamance","28"
"CT","Middlesex","7"
"VT","Chittenden","47"
"OH","Portage","36"
"WI","Rock","49"
"PA","Centre","39"
"AL","Lee","2"
"MA","Hampshire","20"
"TX","Ector","44"
"GA","Paulding","11"
"MD","Charles","21"
"MI","St. Clair","23"
"NY","Rensselaer","35"
"FL","Martin","10"
"MT","Yellowstone","27"
"TX","Guadalupe","44"
"MI","Jackson","23"
"MN","Stearns","24"
"SC","Dorchester","41"
"VA","Alexandria","46"
"NC","Catawba","28"
"ID","Kootenai","14"
"TN","Sullivan","43"
"LA","Ouachita","19"
"CA","Madera","5"
"NY","Schenectady","35"
"MN","Olmsted","24"
"OH","Fairfield","36"
"PA","Franklin","39"
"MI","Berrien","23"
"FL","Indian River","10"
"IN","Johnson","16"
"GA","Houston","11"
"GA","Bibb","11"
"MS","Rankin","26"
"NJ","Cumberland","32"
"ME","Penobscot","22"
"CO","Mesa","6"
"CT","Tolland","7"
"GA","Columbia","11"
"CA","Kings","5"
"MD","Washington","21"
"NH","Merrimack","31"
"MI","Monroe","23"
"NM","Santa Fe","33"
"IA","Johnson","13"
"VA","Stafford","46"
"IN","Monroe","16"
"MN","Scott","24"
"FL","Citrus","10"
"NC","Orange","28"
"IL","Rock Island","15"
"GA","Douglas","11"
"GA","Coweta","11"
"NC","Randolph","28"
"NM","Sandoval","33"
"PA","Schuylkill","39"
"MS","Jackson","26"
"TX","Comal","44"
"NJ","Sussex","32"
"AZ","Coconino","4"
"OK","Canadian","37"
"NC","Rowan","28"
"PA","Lebanon","39"
"CA","Napa","5"
"LA","Livingston","19"
"SC","Florence","41"
"TX","Taylor","44"
"TN","Wilson","43"
"CA","Humboldt","5"
"WI","Marathon","49"
"VA","Hampton","46"
"WI","Washington","49"
"OH","Clark","36"
"MN","Wright","24"
"MI","Calhoun","23"
"TX","Randall","44"
"TX","Parker","44"
"IL","Tazewell","15"
"PA","Cambria","39"
"VA","Spotsylvania","46"
"NC","Robeson","28"
"IA","Black Hawk","13"
"NC","Harnett","28"
"LA","Tangipahoa","19"
"NC","Brunswick","28"
"TX","Wichita","44"
"PA","Fayette","39"
"TX","Grayson","44"
"LA","Rapides","19"
"KY","Boone","18"
"OH","Wood","36"
"TN","Blount","43"
"IN","Madison","16"
"NH","Strafford","31"
"KY","Warren","18"
"NY","Chautauqua","35"
"TN","Washington","43"
"AR","Sebastian","3"
"NM","San Juan","33"
"LA","Bossier","19"
"MA","Berkshire","20"
"GA","Clarke","11"
"RI","Washington","40"
"IL","Kendall","15"
"AZ","Cochise","4"
"WA","Skagit","48"
"OR","Linn","38"
"FL","Sumter","10"
"NJ","Hunterdon","32"
"UT","Cache","45"
"SC","Pickens","41"
"TX","Kaufman","44"
"AR","Faulkner","3"
"NC","Wayne","28"
"TX","Gregg","44"
"PA","Blair","39"
"LA","Ascension","19"
"OK","Comanche","37"
"ME","Kennebec","22"
"OH","Richland","36"
"KS","Douglas","17"
"MO","Jasper","25"
"TX","Potter","44"
"AR","Saline","3"
"AL","Morgan","2"
"NY","Oswego","35"
"TX","Tom Green","44"
"WI","La Crosse","49"
"MT","Missoula","27"
"GA","Carroll","11"
"CT","Windham","7"
"IN","Clark","16"
"MI","Allegan","23"
"OH","Wayne","36"
"GA","Lowndes","11"
"WV","Berkeley","50"
"WI","Sheboygan","49"
"IN","Delaware","16"
"NC","Henderson","28"
"AL","Calhoun","2"
"ID","Bonneville","14"
"PA","Lycoming","39"
"NY","Jefferson","35"
"GA","Fayette","11"
"MD","St. Mary's","21"
"LA","Terrebonne","19"
"PA","Mercer","39"
"SD","Pennington","42"
"IL","Kankakee","15"
"IN","LaPorte","16"
"FL","Flagler","10"
"IL","LaSalle","15"
"NY","Ontario","35"
"MI","Eaton","23"
"AZ","Navajo","4"
"OR","Douglas","38"
"NY","St. Lawrence","35"
"KY","Hardin","18"
"GA","Newton","11"
"MT","Gallatin","27"
"ME","Androscoggin","22"
"IN","Vigo","16"
"VA","Albemarle","46"
"AR","Craighead","3"
"WA","Cowlitz","48"
"SC","Sumter","41"
"NJ","Warren","32"
"TN","Bradley","43"
"VA","Hanover","46"
"IL","Macon","15"
"WV","Monongalia","50"
"OH","Miami","36"
"AK","Matanuska-Susitna","1"
"GA","Bartow","11"
"OR","Yamhill","38"
"AL","Houston","2"
"MS","Madison","26"
"IL","DeKalb","15"
"GA","Whitfield","11"
"MI","Bay","23"
"MO","Cass","25"
"WI","Eau Claire","49"
"FL","Highlands","10"
"MO","Franklin","25"
"OH","Columbiana","36"
"OH","Allen","36"
"WI","Walworth","49"
"AL","Etowah","2"
"NY","Tompkins","35"
"WI","Fond du Lac","49"
"IA","Woodbury","13"
"MD","Cecil","21"
"MD","Wicomico","21"
"NC","Craven","28"
"PA","Adams","39"
"MN","Carver","24"
"MO","Platte","25"
"KY","Daviess","18"
"MT","Flathead","27"
"CA","Nevada","5"
"VA","Roanoke","46"
"AK","Fairbanks North Star","1"
"NY","Putnam","35"
"AR","Garland","3"
"MI","Lenawee","23"
"WY","Laramie","51"
"VA","Montgomery","46"
"LA","Lafourche","19"
"OH","Ashtabula","36"
"TN","Madison","43"
"GA","Floyd","11"
"NC","Moore","28"
"NC","Cleveland","28"
"TX","Rockwall","44"
"TN","Sevier","43"
"IA","Dubuque","13"
"IA","Story","13"
"NY","Steuben","35"
"CA","Sutter","5"
"AL","Marshall","2"
"WA","Grant","48"
"VA","Portsmouth","46"
"ND","Burleigh","29"
"AL","Limestone","2"
"MN","Sherburne","24"
"WV","Cabell","50"
"TX","Hunt","44"
"NC","Nash","28"
"OH","Geauga","36"
"VA","Roanoke","46"
"IA","Pottawattamie","13"
"TX","Bowie","44"
"NJ","Cape May","32"
"KY","Campbell","18"
"AL","Lauderdale","2"
"OH","Tuscarawas","36"
"SC","Lancaster","41"
"MI","Grand Traverse","23"
"TX","Victoria","44"
"WA","Franklin","48"
"TN","Maury","43"
"PA","Northumberland","39"
"MD","Calvert","21"
"GA","Walton","11"
"OK","Rogers","37"
"OR","Benton","38"
"NC","Rockingham","28"
"KY","Madison","18"
"NY","Wayne","35"
"VA","Suffolk","46"
"NC","Burke","28"
"NH","Grafton","31"
"GA","Rockdale","11"
"GA","Dougherty","11"
"WI","St. Croix","49"
"WI","Ozaukee","49"
"MO","Buchanan","25"
"MI","Lapeer","23"
"AL","St. Clair","2"
"WI","Dodge","49"
"SC","Orangeburg","41"
"TX","Angelina","44"
"CA","Mendocino","5"
"IA","Dallas","13"
"PA","Lawrence","39"
"VA","Frederick","46"
"OR","Josephine","38"
"OH","Muskingum","36"
"ID","Bannock","14"
"PA","Crawford","39"
"MO","Christian","25"
"MS","Lee","26"
"PA","Indiana","39"
"WV","Wood","50"
"NY","Chemung","35"
"ID","Twin Falls","14"
"WI","Jefferson","49"
"TX","Bastrop","44"
"GA","Glynn","11"
"TX","Orange","44"
"TX","Liberty","44"
"MI","Midland","23"
"LA","St. Landry","19"
"FL","Nassau","10"
"OR","Polk","38"
"NC","Lincoln","28"
"WA","Island","48"
"AL","Cullman","2"
"RI","Newport","40"
"IN","Bartholomew","16"
"IN","Howard","16"
"NC","Caldwell","28"
"OK","Payne","37"
"MT","Cascade","27"
"NC","Wilson","28"
"AL","Elmore","2"
"TX","Henderson","44"
"KS","Leavenworth","17"
"NY","Clinton","35"
"VA","Lynchburg","46"
"AL","Talladega","2"
"WY","Natrona","51"
"VA","Rockingham","46"
"KY","Bullitt","18"
"PA","Clearfield","39"
"WI","Manitowoc","49"
"IN","Kosciusko","16"
"GA","Barrow","11"
"OK","Wagoner","37"
"AR","White","3"
"MO","Cape Girardeau","25"
"MI","Clinton","23"
"VA","Bedford","46"
"WA","Lewis","48"
"IL","Vermilion","15"
"SC","Oconee","41"
"TN","Putnam","43"
"NY","Cayuga","35"
"IN","Floyd","16"
"OR","Umatilla","38"
"NY","Cattaraugus","35"
"OH","Ross","36"
"MO","Cole","25"
"CA","Yuba","5"
"MS","Lauderdale","26"
"WA","Chelan","48"
"GA","Bulloch","11"
"TN","Anderson","43"
"NH","Cheshire","31"
"OH","Scioto","36"
"NM","Valencia","33"
"OH","Hancock","36"
"FL","Monroe","10"
"WA","Clallam","48"
"MI","Van Buren","23"
"TX","Coryell","44"
"WV","Raleigh","50"
"MS","Forrest","26"
"IN","Hancock","16"
"NY","Sullivan","35"
"VA","Augusta","46"
"KS","Riley","17"
"VA","James City","46"
"OH","Erie","36"
"PA","Somerset","39"
"FL","Putnam","10"
"WI","Wood","49"
"WA","Grays Harbor","48"
"AR","Lonoke","3"
"NM","McKinley","33"
"TX","Walker","44"
"OK","Pottawatomie","37"
"NC","Surry","28"
"LA","Iberia","19"
"HI","Kauai","12"
"AZ","Apache","4"
"MD","Allegany","21"
"OK","Creek","37"
"KY","Christian","18"
"NC","Chatham","28"
"AL","DeKalb","2"
"NY","Madison","35"
"MI","Isabella","23"
"WI","Portage","49"
"MA","Franklin","20"
"SC","Greenwood","41"
"TN","Robertson","43"
"NM","Lea","33"
"ND","Grand Forks","29"
"FL","Columbia","10"
"IN","Morgan","16"
"GA","Troup","11"
"VA","Fauquier","46"
"AR","Jefferson","3"
"NC","Carteret","28"
"GA","Walker","11"
"TN","Greene","43"
"ND","Ward","29"
"OK","Muskogee","37"
"NC","Wilkes","28"
"MS","Jones","26"
"MI","Shiawassee","23"
"FL","Walton","10"
"OH","Belmont","36"
"VA","York","46"
"WV","Harrison","50"
"CO","Broomfield","6"
"GA","Jackson","11"
"ME","Aroostook","22"
"MT","Lewis and Clark","27"
"UT","Tooele","45"
"IL","Williamson","15"
"SC","Darlington","41"
"TX","San Patricio","44"
"OR","Klamath","38"
"SC","Laurens","41"
"MN","Blue Earth","24"
"GA","Catoosa","11"
"KS","Butler","17"
"MI","Marquette","23"
"MO","St. Francois","25"
"NC","Rutherford","28"
"TX","Harrison","44"
"IN","Grant","16"
"OH","Jefferson","36"
"NC","Franklin","28"
"IN","Wayne","16"
"TX","Wise","44"
"MN","Rice","24"
"NM","Otero","33"
"IL","Adams","15"
"KY","Oldham","18"
"OH","Athens","36"
"PA","Armstrong","39"
"PA","Columbia","39"
"IN","Boone","16"
"TX","Nacogdoches","44"
"GA","Spalding","11"
"OH","Marion","36"
"KY","McCracken","18"
"NM","Chaves","33"
"SC","Kershaw","41"
"KY","Pulaski","18"
"MI","Ionia","23"
"NY","Warren","35"
